CALM1	TRPC1
CALM3	TRPC1
CALM2	TRPC1
CAV1	TRPC1
DRD2	TRPC1
Q99750	TRPC1
ITPR2	TRPC1
P29966	TRPC1
TRPC1	GRM1
GRM1	TRPC1
STIM1	TRPC1
TRPC1	TRPC3
TRPC3	TRPC1
TRPC1	TRPC4
TRPC4	TRPC1
TRPC1	TRPC5
TRPC5	TRPC1
TRPC1	TRPC6
TRPC1	PKD2
PKD2	TRPC1
TRPC1	TRPV4
TRPV4	TRPC1
TRPC1	TRPV6
CALM1	TRPC3
CALM3	TRPC3
CALM2	TRPC3
CASR	TRPC3
EPOR	TRPC3
HOMER1	TRPC3
ITPR1	TRPC3
ITPR3	TRPC3
Q12797	TRPC3
ORAI1	TRPC3
PRKG1	TRPC3
RNF24	TRPC3
SRC	TRPC3
TRPM4	TRPC3
PKD2	TRPC3
WNK4	TRPC3
FYN	TRPC4
SLC9A3R1	TRPC4
RNF24	TRPC4
CABP1	TRPC5
NCS1	TRPC5
Q86VW0	TRPC5
TRPC5	TRPC6
CALM1	TRPC6
CALM3	TRPC6
CALM2	TRPC6
FYN	TRPC6
P20591	TRPC6
NPHS1	TRPC6
PRKACA	TRPC6
PRKG1	TRPC6
NPHS2	TRPC6
RNF24	TRPC6
SNF8	TRPC6
SRC	TRPC6
PRKG1	TRPC7
PKD2	TRPC7
CALM1	TRPV1
CALM3	TRPV1
CALM2	TRPV1
CNR1	TRPV1
CDK5	TRPV1
TRPV1	P29474
FAF1	TRPV1
GABARAP	TRPV1
KIF13B	TRPV1
P0C851	TRPV1
PRKACA	TRPV1
SRC	TRPV1
NTRK1	TRPV1
EGFR	TRPV3
CALM1	TRPV4
CALM3	TRPV4
CALM2	TRPV4
FYN	TRPV4
HCK	TRPV4
ITPR3	TRPV4
LCK	TRPV4
LYN	TRPV4
Q14244	TRPV4
OS9	TRPV4
PACSIN3	TRPV4
SRC	TRPV4
TRPV4	SRC
PKD2	TRPV4
TRPV4	PKD2
YES1	TRPV4
Q5W0U4	TRPV5
CALB1	TRPV5
CALM1	TRPV5
CALM3	TRPV5
CALM2	TRPV5
KL	TRPV5
RAB11A	TRPV5
S100A10	TRPV5
TGM2	TRPV5
MCOLN3	TRPV5
TRPV5	MCOLN3
TRPV6	TRPV5
TRPV5	TRPV6
CALM1	TRPV6
CALM3	TRPV6
CALM2	TRPV6
FYN	TRPV6
KL	TRPV6
PDZD3	TRPV6
Q9BPW8	TRPV6
P49757	TRPV6
PTPN1	TRPV6
RAB11A	TRPV6
RGS2	TRPV6
S100A10	TRPV6
SRC	TRPV6
Q9GZU5	TRPM1
CALM1	TRPM2
CALM3	TRPM2
CALM2	TRPM2
EFHC1	TRPM2
PTPN13	TRPM2
CALM1	TRPM4
CALM3	TRPM4
CALM2	TRPM4
RACK1	TRPM6
Q99623	TRPM6
TRPM7	TRPM6
TRPM6	TRPM7
