Gene1	Gene2	EdgeWeight
FOXH1	JMJD1C	0.013982803
PPARA	JMJD1C	0.013011015
POU5F1	JMJD1C	0.012345691
JUND	JMJD1C	0.0122022815
HLA-DRB1	JMJD1C	0.012152223
TAF1L	JMJD1C	0.012085539
SPIB	JMJD1C	0.012070552
ASB4	JMJD1C	0.011783351
CPVL	JMJD1C	0.011410022
KLF6	JMJD1C	0.011210311
KLF6	TCF4	0.011142487
TLR7	JMJD1C	0.011090886
PRDM14	JMJD1C	0.011039692
REL	JMJD1C	0.01093737
PPARA	NFIB	0.010927361
POU2AF1	JMJD1C	0.010889816
CRX	JMJD1C	0.010865961
NFKBIA	TCF4	0.0107861245
RAX2	JMJD1C	0.010771867
NFKBIA	JMJD1C	0.0107350815
NANOG	JMJD1C	0.01066761
LIMD1	JMJD1C	0.01059119
KLHL6	JMJD1C	0.010590936
LIN28A	JMJD1C	0.010568926
FOXN3	JMJD1C	0.010524425
AIRE	JMJD1C	0.010521895
ZNF585B	JMJD1C	0.01051569
CSRP2	JMJD1C	0.010479732
CSRP2	TCF4	0.010476831
SOX7	JMJD1C	0.010454257
TRIP6	JMJD1C	0.010441686
TFE3	JMJD1C	0.010441086
IRF1	JMJD1C	0.0103425775
MAFG	JMJD1C	0.010329075
APBB2	JMJD1C	0.010328676
PPT2	JMJD1C	0.010320272
PBXIP1	JMJD1C	0.010311398
JUND	NFIB	0.010307096
ARID3A	JMJD1C	0.01030566
CIITA	JMJD1C	0.010202624
HLA-DRB1	TCF4	0.010182032
ARID3B	JMJD1C	0.010100365
NDUFC2-KCTD14	JMJD1C	0.010088615
ZFP42	JMJD1C	0.010064171
ARL4A	JMJD1C	0.010042707
ID3	JMJD1C	0.010034942
SEMA5A	JMJD1C	0.00999941
EEF1A1	JMJD1C	0.0099928
EEF1A1	TCF4	0.009900626
POLR2F	JMJD1C	0.009895666
VIM	JMJD1C	0.009876413
CHAF1A	JMJD1C	0.009840907
AMIGO2	JMJD1C	0.009798335
SULF2	JMJD1C	0.00978897
SHOX	JMJD1C	0.009779545
PLOD2	JMJD1C	0.0097715035
KLF6	SYNE2	0.009714886
SRC	JMJD1C	0.009714368
TLE1	JMJD1C	0.00970244
ID1	JMJD1C	0.009700427
JUND	TCF4	0.009690594
LMX1B	JMJD1C	0.009685457
POLR1C	JMJD1C	0.009620778
MRPL1	JMJD1C	0.009612614
CPVL	TCF4	0.009605213
ECI2	JMJD1C	0.009598373
