Gene1	Gene2	EdgeWeight
HNRNPK	ZEB1	0.008320836
VIM	ZEB1	0.008289295
ILF2	ZEB1	0.00806366
SRSF2	ZEB1	0.007982028
NPM1	ZEB1	0.007880276
DUSP10	ZEB1	0.0078050923
HNRNPK	PHF21A	0.007801015
BTG2	ZEB1	0.007722165
SRSF3	ZEB1	0.007697392
ILF2	PHF21A	0.0076551847
DEK	ZEB1	0.007647705
ENO1	ZEB1	0.0076338523
NFIB	XRCC5	0.0076113325
DKK1	ZEB1	0.007577735
TGFB1I1	ZEB1	0.0075740684
PLK2	ZEB1	0.0075678984
SRSF2	PHF21A	0.007515196
BTF3	ZEB1	0.0074939528
YBX1	ZEB1	0.0073812725
ODC1	ZEB1	0.007381149
VIM	PHF21A	0.0073608886
ILF2	SMG6	0.0073566185
CNBP	ZEB1	0.007343477
NFIC	ZEB1	0.0073266802
ENO1	PHF21A	0.007310057
GLRX	ZEB1	0.0073058456
MAFF	ZEB1	0.0072635924
NONO	ZEB1	0.0072488934
DUSP10	PHF21A	0.007237112
HTRA1	ZEB1	0.007220602
NPM1	PHF21A	0.007191239
CD48	ZEB1	0.007177885
SSB	SMG6	0.0071678795
RTKN2	ZEB1	0.007164353
RBMX	ZEB1	0.00716097
XRCC6	ZEB1	0.007155999
HNRNPAB	ZEB1	0.0071525937
RHOBTB3	PHF21A	0.007134439
IFI16	ZEB1	0.0071235425
PLAU	ZEB1	0.00711531
ASS1	ZEB1	0.007110237
SFPQ	ZEB1	0.0071017523
EWSR1	ZEB1	0.007089421
DEK	PHF21A	0.007078569
STK3	ZEB1	0.007071731
XRCC5	ZEB1	0.007061258
RHOBTB3	ZEB1	0.0070525655
CNBP	PHF21A	0.007052169
LPIN1	ZEB1	0.007043317
STK3	PHF21A	0.007029548
ODC1	PHF21A	0.007021248
PA2G4	ZEB1	0.0070132487
CNKSR3	ZEB1	0.007002614
SSB	ZEB1	0.0070013017
HNRNPD	ZEB1	0.00699581
CBX3	ZEB1	0.0069918525
NFIC	PHF21A	0.006984917
