Gene1	Gene2	EdgeWeight
POLR2I	MIA3	0.012567697
SNRPD1	MIA3	0.012367674
PA2G4	MIA3	0.012136018
POLR2H	MIA3	0.012040042
PHB2	MIA3	0.012022491
TIMM8A	MIA3	0.012007705
PARP1	MIA3	0.011911023
POLR2K	MIA3	0.011887722
RFXANK	ST8SIA1	0.011786609
YBX1	MIA3	0.011780979
RFXANK	MIA3	0.011647608
SNRPB	MIA3	0.011631313
MIF	MIA3	0.011627764
CBR1	MIA3	0.011600605
POLR2G	MIA3	0.011573538
POLR2F	MIA3	0.011565168
AIP	MIA3	0.0115255425
TRIP6	MIA3	0.011445706
DEK	MIA3	0.011430582
HMGA1	MIA3	0.011421687
SSB	MIA3	0.011414794
TRIP6	ST8SIA1	0.011232739
RUVBL2	MIA3	0.011228942
PSMD9	MIA3	0.011200365
SAP18	MIA3	0.011176493
NONO	MIA3	0.011157623
KHSRP	MIA3	0.011142644
HIF3A	MIA3	0.011135653
MCM2	MIA3	0.011087039
SMARCD3	TMEM64	0.011055627
CHAF1A	MIA3	0.011052125
PRIM1	MIA3	0.011046256
CITED2	MIA3	0.011033077
GINS2	MIA3	0.011014099
HLA-DRB1	MIA3	0.01098499
HSD17B11	MIA3	0.010982973
TRIM28	MIA3	0.010911845
SMARCD3	ST8SIA1	0.010884635
MCM5	MIA3	0.0108759375
CPVL	MIA3	0.010849029
BTF3	MIA3	0.010847132
CNKSR3	MIA3	0.010844833
MRPS30	MIA3	0.010832249
WDR5	MIA3	0.010831635
DEDD2	MIA3	0.010811857
DDX54	MIA3	0.010795842
DECR1	MIA3	0.010794418
POLR2I	RRAS2	0.010794006
PTMA	MIA3	0.010785579
APOBEC3C	MIA3	0.0107787065
RFXANK	RRAS2	0.010774738
APEX1	MIA3	0.010749999
SNX16	MIA3	0.010741581
TGFB1I1	TMEM64	0.010731762
MCC	MIA3	0.010715792
CBX3	MIA3	0.01071094
ITM2A	MIA3	0.010704682
CPVL	CNTRL	0.010697914
ILF2	MIA3	0.010663198
NFIC	MIA3	0.010662642
ASB4	MIA3	0.0106359795
MEF2D	MIA3	0.010633592
HTRA1	MIA3	0.010631429
DTL	MIA3	0.010626238
UBTF	MIA3	0.010625577
