Gene1	Gene2	EdgeWeight
SFRP1	POU5F1	0.00890416
HPRT1	POU5F1	0.008607726
ILF2	POU5F1	0.008605296
SP100	POU5F1	0.0083596185
RHOBTB3	POU5F1	0.00834845
ITM2A	POU5F1	0.008337113
CCNB2	POU5F1	0.008336283
SUPT16H	POU5F1	0.008290874
DECR1	POU5F1	0.0082455315
NUSAP1	POU5F1	0.008196829
DNAJC2	POU5F1	0.008147958
MRPS30	POU5F1	0.008134653
IL6ST	POU5F1	0.008124076
SERPINE2	POU5F1	0.008057357
DLGAP5	POU5F1	0.008049949
GLRX	POU5F1	0.0080298465
CDC20	POU5F1	0.0080273915
THY1	POU5F1	0.008014163
CA2	POU5F1	0.007986991
SH3BGRL	POU5F1	0.007986096
APEX1	POU5F1	0.007982697
IFI16	POU5F1	0.0079798
XRCC5	POU5F1	0.0079658795
ARL4A	POU5F1	0.007965211
HMGN2	POU5F1	0.00794758
HPRT1	RFESD	0.007942331
CDK6	DNMT3B	0.007918456
CD48	POU5F1	0.007916249
NUCB2	POU5F1	0.007916195
CDK6	POU5F1	0.00790334
GNG11	POU5F1	0.007889012
CNBP	POU5F1	0.007852829
CBX3	POU5F1	0.0078447545
ENO1	POU5F1	0.007840968
HSD17B11	POU5F1	0.007834001
SRSF2	POU5F1	0.007828671
CD48	EGF	0.0078111915
HNRNPAB	POU5F1	0.0078054275
DEK	POU5F1	0.007790001
HMGA1	POU5F1	0.0077856053
RHOBTB3	RFESD	0.007778322
MRPS35	POU5F1	0.0077780904
SSB	POU5F1	0.007761036
SF1	POU5F1	0.007759086
DNMT1	POU5F1	0.0077560446
MSX1	POU5F1	0.007744931
ITGA5	POU5F1	0.007739417
PLK1	POU5F1	0.007736808
BNIP3	POU5F1	0.007724904
CDCA8	POU5F1	0.0077192117
PARP1	POU5F1	0.0077075246
DKK1	POU5F1	0.0076988013
HNRNPK	POU5F1	0.007691955
RBMX	POU5F1	0.007685748
COL5A1	POU5F1	0.0076843603
TCEA1	POU5F1	0.007682628
NUSAP1	LZTS1	0.007667794
DAB2	POU5F1	0.0076656416
SRSF10	POU5F1	0.0076616835
SRSF3	POU5F1	0.0076577966
CDK6	RFESD	0.00764977
CENPK	POU5F1	0.00764694
POLR2F	POU5F1	0.007644207
NPM1	POU5F1	0.0076353876
CYP1B1	POU5F1	0.007627639
STK3	POU5F1	0.0076184906
ODC1	POU5F1	0.0076111606
BAMBI	POU5F1	0.007609148
COL5A2	POU5F1	0.0076079424
YPEL5	POU5F1	0.0075969063
DRAM2	POU5F1	0.0075936727
YBX1	LZTS1	0.00758854
RNPS1	POU5F1	0.0075839707
BHLHE40	POU5F1	0.0075694295
PSMD9	SEMA6A	0.0075592147
YBX1	POU5F1	0.0075564473
FEZ1	POU5F1	0.007556012
POLR2H	POU5F1	0.0075513665
TRIP11	POU5F1	0.0075496603
VIM	POU5F1	0.007548733
