Gene1	Gene2	EdgeWeight
BTF3	SPIB	0.01568832
SAP18	SPIB	0.015280469
DEK	SPIB	0.01526113
POLR2I	SPIB	0.015145161
NPM1	SPIB	0.015114014
PA2G4	SPIB	0.014875628
SNRPD1	SPIB	0.014607973
SF1	SPIB	0.01457976
SNRPB	SPIB	0.014476134
POLR2F	SPIB	0.014465386
PTMA	SPIB	0.0143604465
SSB	SPIB	0.014344359
YBX1	SPIB	0.014272905
POLR2K	SPIB	0.013947723
NFIC	SPIB	0.013803634
ILF2	SPIB	0.013768361
PHB2	SPIB	0.013761718
VIM	SPIB	0.013749983
KHSRP	SPIB	0.013724487
RHOBTB3	SPIB	0.013580999
POLR2I	TAF1L	0.013555671
MIF	SPIB	0.013515509
SRSF2	SPIB	0.013279697
POLR2H	SPIB	0.0131951375
CBX3	SPIB	0.013171903
JUND	SPIB	0.013030639
ENO1	SPIB	0.013030124
CD48	SPIB	0.01300344
NONO	SPIB	0.012969337
ITM2A	SPIB	0.012856737
FUS	SPIB	0.012837339
RNPS1	SPIB	0.012831162
PSMD9	SPIB	0.012656915
APEX1	SPIB	0.012579655
AIP	SPIB	0.012448614
SAP18	TAF1L	0.012390667
CNBP	SPIB	0.01238384
HNRNPK	SPIB	0.01238264
POLR2G	SPIB	0.012345251
HMGA1	SPIB	0.012278699
GLRX	SPIB	0.0122652985
SFPQ	SPIB	0.012239256
EEF1A1	SPIB	0.012168181
POLR2K	TAF1L	0.012165993
SNRPB	TAF1L	0.012138414
POLR2I	CRX	0.012098785
RBMX	SPIB	0.012025356
DECR1	SPIB	0.011941213
SNRPB	CRX	0.011932162
HMGN2	SPIB	0.011930481
ZEB1	SPIB	0.011922425
PA2G4	TAF1L	0.011884252
DEK	CRX	0.011859815
HLA-DRB1	SPIB	0.011836757
DEK	TAF1L	0.011833998
SNRPD1	TAF1L	0.0118279895
SAP18	CRX	0.011808091
SH3BGRL	SPIB	0.011788136
PA2G4	CRX	0.01170541
CCPG1	SPIB	0.01170474
POLR2K	CRX	0.011675577
SRSF3	SPIB	0.011673317
CD48	TAF1L	0.011664222
HSD17B11	SPIB	0.011642125
CDK6	SPIB	0.011613476
SNRPD1	CRX	0.011575523
PARP1	SPIB	0.011573863
HNRNPAB	SPIB	0.011538396
POLR2A	SPIB	0.011520006
DNMT1	SPIB	0.011457239
BTF3	TAF1L	0.011450491
ESRRG	SPIB	0.011447968
NFIA	SPIB	0.011434046
PSMD9	TAF1L	0.0114043625
PCDH7	SPIB	0.011398949
HNRNPD	SPIB	0.011374643
TCEA1	SPIB	0.011266328
XRCC5	SPIB	0.011228578
MFAP4	SPIB	0.01122291
PHB2	TAF1L	0.011189232
PHB2	CRX	0.011181551
MEIS2	SPIB	0.011180563
ECI2	SPIB	0.011152914
TRIP6	SPIB	0.011132326
ANKRD1	SPIB	0.0111243995
SRSF10	SPIB	0.011124041
RNF19A	SPIB	0.011108847
POLR2F	TAF1L	0.0111046275
XRCC6	SPIB	0.011097317
CSDE1	SPIB	0.011089708
APBB2	SPIB	0.011070142
ILF3	SPIB	0.011067814
NUCB2	SPIB	0.011062392
DNAJC2	SPIB	0.010957412
SSB	TAF1L	0.010930979
ODC1	SPIB	0.010912336
POLR2F	CRX	0.010901353
IFI16	SPIB	0.0108869085
SF1	TAF1L	0.010865831
BTF3	CRX	0.010839465
PA2G4	POU2AF1	0.010822991
SSB	CRX	0.010808041
MXI1	SPIB	0.010804378
REV3L	SPIB	0.01078958
VPS13C	SPIB	0.0107645225
ZBTB38	SPIB	0.010761957
DEK	POU2AF1	0.010749502
TRIM28	SPIB	0.010739341
BNIP3	SPIB	0.01073619
SFRP1	SPIB	0.010729343
AIP	TAF1L	0.010707571
CEBPZ	SPIB	0.01069944
POLR2G	TAF1L	0.010674921
POLR2H	TAF1L	0.010674786
PSIP1	SPIB	0.010633669
AEBP1	SPIB	0.010607511
CITED2	SPIB	0.010565599
GLRX	TAF1L	0.010565427
PHF21A	SPIB	0.01054478
RIN2	SPIB	0.01052565
REL	SPIB	0.010498034
POLR2H	CRX	0.010497027
SNRPB	POU2AF1	0.010491976
ZRANB2	SPIB	0.010488162
PALLD	SPIB	0.010485489
IRF1	SPIB	0.010481855
SNRPD1	POU2AF1	0.010449019
FOXN3	SPIB	0.010430061
AIP	CRX	0.010429843
POLR2F	POU2AF1	0.010427574
SRSF1	SPIB	0.010412452
CD48	CRX	0.010409552
SF1	CRX	0.010385724
YBX1	TAF1L	0.010349815
NUSAP1	SPIB	0.01033484
POLR2I	POU2AF1	0.010331692
BTF3	POU2AF1	0.010295341
ISCA1	SPIB	0.010292194
MIF	TAF1L	0.010284008
POLR2G	CRX	0.010270168
DEK	ZFP42	0.010234283
POLR2I	FOXH1	0.0102226185
SAP18	POU2AF1	0.010197495
SSB	POU2AF1	0.0101965545
HLA-DRB1	TAF1L	0.01018157
SORL1	SPIB	0.010165917
DAXX	SPIB	0.010130922
POLR2I	ZFP42	0.010130403
SOX5	SPIB	0.0101292785
ITM2A	POU2AF1	0.010128187
SF1	TLR7	0.010122734
CPVL	SPIB	0.01012033
SAP18	FOXH1	0.010114452
ARID3A	SPIB	0.010100795
YBX1	CRX	0.010100203
SF1	POU2AF1	0.010085769
DDX54	SPIB	0.010084487
PA2G4	ZFP42	0.010079769
CDC20	SPIB	0.010067783
ZHX3	SPIB	0.010039423
THY1	SPIB	0.010038876
CALCOCO1	SPIB	0.01001835
DEK	TLR7	0.009992222
UHRF1	SPIB	0.009973503
NFKBIB	SPIB	0.009943247
PSMD9	CRX	0.009938584
BTF3	FOXH1	0.009922661
HDGF	SPIB	0.009917799
ZEB2	SPIB	0.00991646
ITM2A	TAF1L	0.0099126985
TJP2	SPIB	0.009901323
DEK	FOXH1	0.0098836785
PER3	SPIB	0.009880844
SNRPB	ZFP42	0.009874515
HPRT1	SPIB	0.0098679
ANKRD28	SPIB	0.009866796
SAP18	ZFP42	0.009865316
CYP1B1	SPIB	0.009864411
NPM1	POU2AF1	0.009852166
POLR2K	POU2AF1	0.009851777
DKK1	SPIB	0.009836961
ARID5B	SPIB	0.009826895
ETS1	SPIB	0.00981852
MRPL1	SPIB	0.009815708
KLF6	SPIB	0.009807696
U2AF1	SPIB	0.009805232
SOX4	SPIB	0.009803129
ILF2	TAF1L	0.00980293
BCL11B	SPIB	0.009802365
TEAD1	SPIB	0.009792282
RUNX1	SPIB	0.009783674
DDAH1	SPIB	0.00977824
YBX1	POU2AF1	0.009773455
PA2G4	TLR7	0.009761455
NFIC	TAF1L	0.009752749
CBX3	CRX	0.009746372
PRSS23	SPIB	0.009740917
CBX3	TAF1L	0.0097393105
ILF2	CRX	0.009716857
PHB2	POU2AF1	0.009711578
POLR2K	ZFP42	0.009706784
ITM2A	CRX	0.009701032
HIF3A	SPIB	0.009699813
POLR2K	FOXH1	0.009693069
PDGFRA	SPIB	0.009678158
NPM1	TAF1L	0.009675659
CBR1	SPIB	0.009675602
LEF1	SPIB	0.009661811
PLK1	SPIB	0.009658764
TDP2	SPIB	0.00964796
PA2G4	FOXH1	0.00964211
EWSR1	SPIB	0.009631815
ELL2	SPIB	0.009593107
ARFGAP3	SPIB	0.00958071
POLR2H	POU2AF1	0.0095731225
BTG2	SPIB	0.009570604
EHMT2	SPIB	0.009565047
ACTC1	SPIB	0.009564977
RUVBL2	SPIB	0.009562646
ZNF83	SPIB	0.009540096
ITGA6	SPIB	0.009538848
NPM1	CRX	0.00953615
PTMA	POU2AF1	0.009516522
SNRPD1	ZFP42	0.009511384
SSB	FOXH1	0.009511163
EPCAM	SPIB	0.009508465
BTF3	ZFP42	0.00949365
SNRPB	FOXH1	0.009491466
DLC1	SPIB	0.009471827
PTMA	TAF1L	0.009471186
STAT3	SPIB	0.009469666
ILF2	POU2AF1	0.009464531
SSB	ZFP42	0.009453016
KIF21A	SPIB	0.009445657
SATB1	SPIB	0.009422531
RBPJ	SPIB	0.009421906
EPB41L3	SPIB	0.009399427
NFKBIA	SPIB	0.009395025
UBTF	SPIB	0.009394595
PTMA	CRX	0.009380524
SNRPB	TLR7	0.009379741
COL5A2	SPIB	0.0093766255
SPP1	SPIB	0.009368926
RHOBTB3	TAF1L	0.009368174
GLRX	CRX	0.009365359
FXR1	SPIB	0.009357812
KHSRP	TAF1L	0.009351562
CTBP1	SPIB	0.009338891
ASXL1	SPIB	0.009338839
NFIC	CRX	0.0093369335
MRPS30	SPIB	0.009336279
IL6ST	SPIB	0.009328511
DEDD2	SPIB	0.009327119
PRIM1	SPIB	0.00932268
TNC	SPIB	0.009312709
NPM1	FOXH1	0.009306781
RHOBTB3	FOXH1	0.009299051
POLR2F	OXTR	0.009290081
SNRPD1	FOXH1	0.009289949
YAF2	SPIB	0.009283164
SSB	TLR7	0.009272232
MIF	CRX	0.009262769
CBX3	POU2AF1	0.009261035
RHOBTB3	POU2AF1	0.009246466
PURA	SPIB	0.009235433
NUAK1	SPIB	0.009234943
AEBP1	TAF1L	0.009228197
ITPR2	SPIB	0.009208727
BTF3	TLR7	0.009196049
ARL4A	SPIB	0.009189987
YBX1	TLR7	0.009184956
ASNS	SPIB	0.009173022
CD48	POU2AF1	0.009167488
DEK	OXTR	0.009162875
POLR2F	ZFP42	0.009160987
MCM7	SPIB	0.009154785
FLRT2	SPIB	0.009152632
APEX1	TAF1L	0.009151297
MAP3K2	SPIB	0.00915018
POLR2F	TLR7	0.009141125
YBX1	OXTR	0.009133467
HTRA1	SPIB	0.009118968
YPEL5	SPIB	0.009115534
PLK2	SPIB	0.009110944
SUPT16H	SPIB	0.009099576
SNRPD1	TLR7	0.009094157
MLLT3	SPIB	0.0090925805
PAWR	SPIB	0.00909254
LRRCC1	SPIB	0.0090874825
POLR2I	ETS1	0.009083134
DECR1	TAF1L	0.009081968
BCLAF1	SPIB	0.009074084
NFIC	POU2AF1	0.009056157
ANKRD26	SPIB	0.009053555
PHB2	ZFP42	0.009048128
DNAJB14	SPIB	0.009039002
RTKN2	SPIB	0.009030593
SYNE2	SPIB	0.00901226
SF1	FOXH1	0.009011687
KLHL24	SPIB	0.009010844
APEX1	CRX	0.008993733
ALYREF	SPIB	0.008990368
DECR1	CRX	0.008985596
ATP2B4	SPIB	0.0089815715
POLR2F	FOXH1	0.008973528
MCM2	SPIB	0.008961872
MAN1A1	SPIB	0.008954456
APBB1	SPIB	0.008952054
ST3GAL6	SPIB	0.008945157
SULF2	SPIB	0.008944191
SAP18	TLR7	0.008943151
SF1	OXTR	0.008942738
TRIM2	SPIB	0.008925288
CBX3	TLR7	0.008924075
LPIN1	SPIB	0.008918031
RAD51	SPIB	0.008907348
ILF2	FOXH1	0.008905557
YBX1	FOXH1	0.008897994
CCNB2	SPIB	0.008895892
MIF	FOXH1	0.008891597
RNPS1	CRX	0.008877043
MEF2D	SPIB	0.008867718
MLLT6	SPIB	0.008866904
TFDP1	SPIB	0.008856749
MFAP4	TAF1L	0.008853519
SPPL2A	SPIB	0.008851615
LMO2	SPIB	0.008841406
GATM	SPIB	0.008841141
POLR2I	MSANTD3-TMEFF1	0.0088398745
MCM5	SPIB	0.008839471
LTBP1	SPIB	0.008830088
TMEM131	SPIB	0.00882844
NFIC	FOXH1	0.008820724
POLR2I	TLR7	0.00881636
ASS1	SPIB	0.008814935
DUSP10	SPIB	0.008814458
RNPS1	POU2AF1	0.008813995
PA2G4	OXTR	0.008796521
MAFF	SPIB	0.008793718
MYBBP1A	SPIB	0.008792364
POLR2I	PRDM14	0.008792233
BLM	SPIB	0.008789908
HSD17B11	POU2AF1	0.00877716
PSMD9	POU2AF1	0.008768249
