Gene1	Gene2	EdgeWeight
ILF2	HAND2	0.0413211
SMARCD3	HAND2	0.03765309
HNRNPAB	HAND2	0.03742945
DEK	HAND2	0.03736679
PHB2	HAND2	0.03712774
BHLHE40	HAND2	0.037011392
BAMBI	HAND2	0.036478806
RUVBL2	HAND2	0.036285363
SNRPB	HAND2	0.03580184
HMGN2	HAND2	0.035385866
PA2G4	HAND2	0.035271943
HMGA1	HAND2	0.035261523
PTMA	HAND2	0.035198625
CDC20	HAND2	0.035143696
CYP1B1	HAND2	0.035114348
TLE3	HAND2	0.034980286
MDM4	HAND2	0.03461424
MCM7	HAND2	0.034185976
SNRPD1	HAND2	0.034073535
CBX3	HAND2	0.03388626
YBX1	HAND2	0.033814404
AIP	HAND2	0.033487838
SRSF10	HAND2	0.03341935
RNPS1	HAND2	0.033391245
NONO	HAND2	0.033374745
HNRNPK	HAND2	0.033158362
XRCC6	HAND2	0.03295053
APEX1	HAND2	0.032878675
ILF3	HAND2	0.03271107
POLR2K	HAND2	0.032510936
ODC1	HAND2	0.03247854
DNMT1	HAND2	0.032458805
SRSF3	HAND2	0.032321416
ITGA5	HAND2	0.032320764
SP100	HAND2	0.032174364
IFI16	HAND2	0.032073975
BNIP3	HAND2	0.032064445
TRIM28	HAND2	0.032046236
CLDN10	HAND2	0.031962227
CNBP	HAND2	0.031725165
HIF1A	HAND2	0.03141623
APOBEC3C	HAND2	0.03140778
SF1	HAND2	0.031399503
GLRX	HAND2	0.03139321
POLR2H	HAND2	0.031348903
CITED2	HAND2	0.03119148
NPM1	HAND2	0.031072844
CCNB2	HAND2	0.031022148
PSIP1	HAND2	0.030668303
SSB	HAND2	0.03065483
SOX4	HAND2	0.03034905
ETV3	HAND2	0.030262297
NUSAP1	HAND2	0.030179122
HLA-DQB1	HAND2	0.030069152
RIN2	HAND2	0.030004073
SRSF2	HAND2	0.029967647
ID3	HAND2	0.029882696
GPR83	HAND2	0.02986507
CTNNB1	HAND2	0.029806366
STK17B	HAND2	0.029801125
TCEA1	HAND2	0.02978344
SAP18	HAND2	0.02977881
ENO1	HAND2	0.029756548
POLR2G	HAND2	0.029620254
RFXANK	HAND2	0.029585974
PARP1	HAND2	0.029547885
BTF3	HAND2	0.02949107
PRPS2	HAND2	0.029461928
CD9	HAND2	0.029455751
LEPREL1	HAND2	0.029441968
HLA-DRB1	HAND2	0.029413933
BAG3	HAND2	0.02939556
RBBP4	HAND2	0.029382177
PPAPDC1A	HAND2	0.029369568
RGS5	HAND2	0.02921653
C12orf23	HAND2	0.029198857
ERCC-00053	HAND2	0.02918325
RPL17-C18ORF32	HAND2	0.029151794
EEF1A1	HAND2	0.029142447
TMSB15B	HAND2	0.02913995
ZNF238	HAND2	0.029138077
HDGF	HAND2	0.029137602
ZCCHC11	HAND2	0.029131953
SSFA2	HAND2	0.029126875
JUND	HAND2	0.029114427
FAM69A	HAND2	0.029109402
ERCC-00076	HAND2	0.0290886
MLL3	HAND2	0.029078849
FAM46A	HAND2	0.029057397
FAM188A	HAND2	0.029047707
ERCC-00044	HAND2	0.0290366
ERCC-00062	HAND2	0.02903031
KIAA1467	HAND2	0.029012958
ERCC-00165	HAND2	0.029012315
H1F0	HAND2	0.029008621
ERCC-00022	HAND2	0.029006308
KIAA1324L	HAND2	0.029000591
ERCC-00095	HAND2	0.028996415
ERCC-00025	HAND2	0.028985856
ERCC-00112	HAND2	0.028985592
ERCC-00131	HAND2	0.028982203
YPEL5	HAND2	0.028980708
ERCC-00111	HAND2	0.028968558
AES	HAND2	0.028946308
ERCC-00060	HAND2	0.028944587
MTERF	HAND2	0.028929977
ERCC-00092	HAND2	0.028921636
RBMX	HAND2	0.028919889
NFKBIA	HAND2	0.028912418
ERCC-00145	HAND2	0.028906673
GTF2H2D	HAND2	0.028893333
ERCC-00171	HAND2	0.028892739
KIAA1804	HAND2	0.028873553
HRSP12	HAND2	0.0288621
LECT1	HAND2	0.02885863
C11orf46	HAND2	0.028853899
KIAA0528	HAND2	0.028847126
PLK2	HAND2	0.028845545
ERCC-00113	HAND2	0.028844234
DNAJC2	HAND2	0.028830394
MAFF	HAND2	0.028823303
ERCC-00042	HAND2	0.028810997
C11orf82	HAND2	0.028805094
ERCC-00009	HAND2	0.028803168
ERCC-00003	HAND2	0.028802456
PPPDE1	HAND2	0.028794438
ERCC-00108	HAND2	0.028787073
AKAP2	HAND2	0.028782377
ERCC-00043	HAND2	0.02877895
KAL1	HAND2	0.028766453
CBR1	HAND2	0.028764611
VIM	HAND2	0.02875405
TGFB1I1	HAND2	0.028748384
MKI67IP	HAND2	0.028738717
ZNF24	HAND2	0.028726565
ERCC-00136	HAND2	0.028719606
HIST1H1B	HAND2	0.02869684
PHF17	HAND2	0.028682405
ERCC-00002	HAND2	0.028669666
ERCC-00004	HAND2	0.028669523
ERCC-00046	HAND2	0.02866263
MLF1IP	HAND2	0.028658185
COBLL1	HAND2	0.028649518
ERCC-00096	HAND2	0.028614437
HNRNPD	HAND2	0.028607871
ERCC-00130	HAND2	0.028601287
ALS2CR8	HAND2	0.028574577
SRSF6	HAND2	0.028549466
ELL2	HAND2	0.028483458
MXI1	HAND2	0.02845478
TCOF1	HAND2	0.028439442
ENC1	HAND2	0.028436756
B3GNT5	HAND2	0.02842178
DRAM2	HAND2	0.028377416
ERCC-00074	HAND2	0.02836593
NEDD9	HAND2	0.028338322
HSD17B11	HAND2	0.028252274
PRIC285	HAND2	0.028240182
CA2	HAND2	0.02822803
PLK1	HAND2	0.028165396
DDX54	HAND2	0.028111087
NUCB2	HAND2	0.028058097
PDGFA	HAND2	0.028049504
MYBL2	HAND2	0.02801631
ZBTB10	HAND2	0.027965482
MCM5	HAND2	0.027950604
TMOD1	HAND2	0.027811058
ALYREF	HAND2	0.027805995
STAT2	HAND2	0.027800739
ZRANB2	HAND2	0.02769901
FOXN3	HAND2	0.027594594
TRIP6	HAND2	0.027593406
TTN	HAND2	0.027548146
MSX1	HAND2	0.027535236
SKIL	HAND2	0.02753148
ASS1	HAND2	0.027495852
AEBP1	HAND2	0.027396142
MIF	HAND2	0.027306966
MCM3	HAND2	0.027174268
SRSF1	HAND2	0.02710547
XRCC5	HAND2	0.027090393
MECOM	HAND2	0.027032986
HOXB2	HAND2	0.026994199
GATM	HAND2	0.026990183
SNAI1	HAND2	0.026949912
EWSR1	HAND2	0.026920091
HCFC1	HAND2	0.02690636
FLI1	HAND2	0.026881691
SUPT16H	HAND2	0.026847927
POLR2F	HAND2	0.026847368
ARID5B	HAND2	0.026787927
NKX3-1	HAND2	0.026726771
BCLAF1	HAND2	0.026645998
HPRT1	HAND2	0.02658746
FOXF1	HAND2	0.026573904
UHRF1	HAND2	0.026569938
DUSP4	HAND2	0.026422976
MRPS30	HAND2	0.026326897
MCM2	HAND2	0.026307326
GYPA	HAND2	0.02626753
CSDE1	HAND2	0.026203442
TIPARP	HAND2	0.02619194
UPF1	HAND2	0.026179986
STAT3	HAND2	0.026129166
SNAI2	HAND2	0.026117798
JMJD1C	HAND2	0.026112368
HIF3A	HAND2	0.026052441
MEF2D	HAND2	0.026013812
CCNA2	HAND2	0.026010834
RHOBTB3	HAND2	0.025942365
NFIC	HAND2	0.025913553
ISCA1	HAND2	0.025907021
ARL4A	HAND2	0.025906406
ITM2A	HAND2	0.025884915
TLE1	HAND2	0.025874317
DNAAF2	HAND2	0.02586585
APLNR	HAND2	0.025826083
HTRA1	HAND2	0.02578937
EMB	HAND2	0.025741028
ASNS	HAND2	0.025722463
PSMD9	HAND2	0.02569493
FOXP1	HAND2	0.025682047
CD200	HAND2	0.025592973
ZBTB38	HAND2	0.025575915
MME	HAND2	0.025568724
ZNF165	HAND2	0.025546769
IRF1	HAND2	0.025536722
RUVBL1	HAND2	0.02548736
CPVL	HAND2	0.025414962
SFPQ	HAND2	0.025413891
CREB3L2	HAND2	0.025346955
RAB31	HAND2	0.025321862
TMF1	HAND2	0.025302928
DECR1	HAND2	0.025295472
ANKRD28	HAND2	0.025204571
E2F4	HAND2	0.02519957
RBPJ	HAND2	0.025184022
NUDT11	HAND2	0.0251723
TDP2	HAND2	0.025143005
CYP26A1	HAND2	0.02514097
KLHL24	HAND2	0.025097432
NRIP1	HAND2	0.025091281
ARID3A	HAND2	0.025070824
PTGR1	HAND2	0.02503669
