Gene1	Gene2	EdgeWeight
EEF1A1	FOXD3	0.025161736
FOXD3	RXRG	0.024407236
HAND2	CHL1	0.024259007
SFRP1	RXRG	0.024097428
PCDH10	RXRG	0.024089357
HAND2	RXRG	0.02381318
HAND2	ELAVL2	0.023713358
SEMA5A	RXRG	0.023510661
PRSS35	HAND2	0.023471424
FN1	RXRG	0.023193967
CALB1	HAND2	0.023046754
PENK	HAND2	0.022881694
TBX20	RXRG	0.022849873
PLP1	RXRG	0.02274265
COL1A2	RXRG	0.02267661
ALCAM	RXRG	0.02234669
CCND1	RXRG	0.022121366
ZIC2	RXRG	0.021692716
JUND	RXRG	0.02163002
UNC5D	RXRG	0.02146824
LUM	FOXD3	0.021163749
MSX1	RXRG	0.021157242
MME	RXRG	0.021048702
PENK	RXRG	0.020945463
FOXD3	ELAVL2	0.020936176
EGR1	RXRG	0.020756882
SIX6	ELAVL2	0.020653434
ERBB4	RXRG	0.020425942
HDAC9	RXRG	0.020122223
S1PR3	ELAVL2	0.020074563
TTN	RXRG	0.02003748
TGFB1I1	FOXD3	0.020002479
DCLK1	RXRG	0.019998234
RORB	RXRG	0.019969895
SFRP2	FOXD3	0.019923083
PRSS35	RXRG	0.01986564
CYP1B1	RXRG	0.0198073
MEPE	RXRG	0.019764196
RSPO3	RXRG	0.019616459
PRSS35	FOXD3	0.019610895
ZFHX3	RXRG	0.019581603
AEBP1	RXRG	0.019553423
POU3F1	ELAVL2	0.019499397
VIM	RXRG	0.019448778
TWIST1	ELAVL2	0.01943064
MYOCD	ELAVL2	0.01920154
MEPE	ELAVL2	0.019133467
HAS2	RXRG	0.019129852
SOX3	ELAVL2	0.019056147
SFRP2	RXRG	0.019041145
NFIB	FOXD3	0.018995136
ISL1	ELAVL2	0.018975258
VIM	FOXD3	0.018856484
DYNC1I1	RXRG	0.018830867
DPYSL3	RXRG	0.018821558
MMP16	FOXD3	0.018681167
CCDC80	RXRG	0.018632507
COL5A1	RXRG	0.018510854
CALB1	RXRG	0.01841686
MYCN	ELAVL2	0.018392343
CCDC80	FOXD3	0.018365577
LUM	HAND2	0.01833701
TBX3	ELAVL2	0.018319802
COL1A2	HAND2	0.018297313
CCDC80	HAND2	0.018145896
HTRA1	RXRG	0.018026749
TLE3	RXRG	0.017972087
THY1	RXRG	0.017951688
COL4A1	RXRG	0.017926218
ZFPM2	FOXD3	0.017919635
GATA4	RXRG	0.017905667
BMP2	ELAVL2	0.017888824
TIMP3	RXRG	0.01785473
DACH1	RXRG	0.017742964
SFRP1	FOXD3	0.017681055
MME	ELAVL2	0.017661018
BMPER	FOXD3	0.017632784
TRDN	RXRG	0.017618857
ACTC1	RXRG	0.017609563
PTMA	FOXD3	0.017565927
HAND2	DCLK1	0.017556924
PLP1	ELAVL2	0.017552812
RSPO3	HAND2	0.017512525
PDLIM3	RXRG	0.017427852
AR	RXRG	0.017358998
LMO3	RXRG	0.017312216
TBX20	ELAVL2	0.017287247
PLXNA2	FOXD3	0.01728134
CITED2	RXRG	0.017274046
PCDH10	ELAVL2	0.017265953
NPM1	FOXD3	0.017231405
CDH11	FOXD3	0.017155427
NRP2	RXRG	0.017153384
BMP2	RXRG	0.017107058
KLF6	FOXD3	0.016957188
TFAP2A	ELAVL2	0.016941572
NFIB	RXRG	0.01692979
CYP1B1	ELAVL2	0.016927632
TBX20	FOXD3	0.01692106
PRICKLE1	RXRG	0.01691846
MECOM	RXRG	0.016896268
ATP2B4	RXRG	0.016870644
ID3	RXRG	0.016840426
MFAP4	FOXD3	0.016837548
RUNX1	RXRG	0.016837185
SOX4	RXRG	0.016818676
TGFBR3	RXRG	0.016807152
TLE3	ELAVL2	0.016789272
SOX4	FOXD3	0.016779428
POU3F1	FOXD3	0.016777657
PGR	RXRG	0.016722247
NFIA	RXRG	0.01668111
SHOX2	RXRG	0.01666573
ISL1	RXRG	0.016639363
TNC	RXRG	0.016632121
COBLL1	RXRG	0.016620629
PTPRZ1	RXRG	0.016489582
UNC5C	RXRG	0.016488597
ANKRD1	RXRG	0.01646604
LTBP1	RXRG	0.01644581
DKK4	ELAVL2	0.016439177
PENK	FOXD3	0.016412484
DLC1	RXRG	0.016406367
NLGN4X	RXRG	0.01640046
GATA4	ELAVL2	0.016384535
CCND1	ELAVL2	0.016381849
MIF	RXRG	0.016360976
FLRT2	RXRG	0.016349653
HAS2	ELAVL2	0.016334161
BMPER	RXRG	0.016333243
POU3F1	RXRG	0.016332943
MFAP4	HAND2	0.016252559
CSRP2	RXRG	0.016242668
ESRRG	RXRG	0.016239518
MSX1	ELAVL2	0.016229063
ZIC2	HAND2	0.016228123
ISL1	CHL1	0.01620967
NFIA	FOXD3	0.016202824
FLRT2	FOXD3	0.016188731
LHX1	RXRG	0.016185476
TRPS1	RXRG	0.016167434
ELL2	RXRG	0.016165596
WWTR1	RXRG	0.01614973
TWIST1	FOXD3	0.016124785
TCF4	RXRG	0.016123349
PBX1	RXRG	0.016114097
MEIS2	RXRG	0.016107285
RBMX	FOXD3	0.016100276
RSPO3	FOXD3	0.016081246
CCND1	DCLK1	0.016068166
NCAM1	RXRG	0.016064042
PCDH10	TWIST1	0.016052632
GATA3	ELAVL2	0.016048232
ADAMTS3	RXRG	0.0160356
TMEM47	ELAVL2	0.01601959
ETV1	RXRG	0.016014336
SOX2	FOXD3	0.016011018
PLCB4	RXRG	0.016008625
CCND1	HAND2	0.016002776
PMP22	FOXD3	0.01600256
NR0B1	RXRG	0.01597116
CPE	RXRG	0.0159691
ENC1	RXRG	0.015966825
KLHL4	RXRG	0.015960753
BCL11A	RXRG	0.01593155
BMP2	TWIST1	0.015929202
SIPA1L2	RXRG	0.01592604
TWIST1	RXRG	0.015913203
UNC5D	FOXD3	0.01590252
MYOCD	RXRG	0.01589493
COBLL1	ELAVL2	0.01586941
CYP1B1	FOXD3	0.015864732
CER1	ELAVL2	0.01585759
PCDH10	HAND2	0.015841635
GPC6	RXRG	0.015808538
TMEM64	RXRG	0.015789187
ARID5B	FOXD3	0.015789026
ANGPT2	RXRG	0.015755655
SHOX2	ELAVL2	0.01571724
ID1	FOXD3	0.015707685
HTRA1	HAND2	0.01569926
FOXP1	RXRG	0.015695315
COL1A2	FOXD3	0.015680604
PITX2	RXRG	0.01566036
YBX1	RXRG	0.015658062
MAML3	RXRG	0.015643401
TIMP3	FOXD3	0.015640648
PGR	ELAVL2	0.015640233
MFAP4	RXRG	0.015633313
GNG11	RXRG	0.015629321
ELOVL2	ELAVL2	0.015617708
FOXF1	RXRG	0.015614202
STC1	RXRG	0.01559823
GABRB2	RXRG	0.0155907115
PTPRZ1	ELAVL2	0.015561882
CAMK2D	RXRG	0.015542457
TMOD1	RXRG	0.015494533
KDR	RXRG	0.015452
SEMA5A	HAND2	0.01543114
PRICKLE1	FOXD3	0.015426058
SEMA6A	RXRG	0.015422011
LEF1	RXRG	0.015411374
SPP1	RXRG	0.015398473
ID1	RXRG	0.015385724
S1PR3	RXRG	0.015369827
EGR1	FOXD3	0.015352417
ANKRD28	RXRG	0.015351081
GPC3	FOXD3	0.015321215
TBX3	RXRG	0.015319438
GPC3	HAND2	0.015313603
PCDH7	RXRG	0.015306036
TMEM47	RXRG	0.015303121
COLEC12	RXRG	0.015300632
PALLD	RXRG	0.015287294
EEF1A1	HAND2	0.015284132
PAWR	RXRG	0.015260709
AR	ELAVL2	0.015242927
TBX3	TWIST1	0.015226412
NFKBIA	FOXD3	0.015202721
RXRG	ELAVL2	0.0151994
JMJD1C	RXRG	0.015183255
SEMA5A	ELAVL2	0.01517317
NR0B1	ELAVL2	0.015166518
GABRB3	RXRG	0.015163165
MEPE	HAND2	0.01515954
SEMA5A	DCLK1	0.015121808
PAWR	ELAVL2	0.0151181035
BCL11A	ELAVL2	0.015114801
LDB2	RXRG	0.0151025625
CTSK	HAND2	0.015095624
RORB	FOXD3	0.015069474
GATA2	RXRG	0.015054811
SOX3	RXRG	0.015049755
PHLDA1	RXRG	0.015037573
PLP1	HAND2	0.015021173
NFIC	RXRG	0.015015483
CHL1	RXRG	0.015014613
SEMA6D	RXRG	0.015006187
ZEB2	FOXD3	0.0149977375
HTRA1	FOXD3	0.014991796
PLP1	FOXD3	0.014980348
DACH1	CHL1	0.014968875
DACH1	FOXD3	0.014961321
OTX2	ELAVL2	0.01496059
MYOF	RXRG	0.01494601
NAP1L3	HAND2	0.014917911
HEG1	RXRG	0.014884683
TBX20	TWIST1	0.014868911
MEPE	CHL1	0.014858609
BAG3	RXRG	0.014856415
FOXF1	FOXD3	0.014850953
SLC35F1	RXRG	0.014839833
HOXB3	ELAVL2	0.014832292
MYOCD	CHL1	0.014814118
PENK	ELAVL2	0.014813666
APLNR	RXRG	0.014780817
SLCO2A1	RXRG	0.014770055
OTX2	TWIST1	0.014754393
ZIC2	ELAVL2	0.014754173
GATA6	FOXD3	0.014736312
ALYREF	RXRG	0.014721092
BARX2	ELAVL2	0.014681636
ZFPM2	RXRG	0.014664647
FOXP1	FOXD3	0.014659318
CDK6	RXRG	0.014656548
MAN1A1	RXRG	0.014648184
PHLDB2	ELAVL2	0.014648021
MLLT3	RXRG	0.014647766
FN1	FOXD3	0.014647498
SNRPD1	DCLK1	0.014636789
SEMA5A	FOXD3	0.01460705
BTF3	FOXD3	0.014546202
LUM	RXRG	0.0145284245
SFRP1	HAND2	0.014527321
SATB2	FOXD3	0.014499706
KIF21A	RXRG	0.014489141
COL4A1	FOXD3	0.014486306
ELOVL2	RXRG	0.014481763
CTBP1	RXRG	0.014465608
STK17B	ELAVL2	0.014465074
SPP1	ELAVL2	0.014460387
ELL2	ELAVL2	0.0144551825
BAMBI	ELAVL2	0.01439088
COL4A6	ELAVL2	0.014378057
KLHL4	ELAVL2	0.014377393
GATA6	RXRG	0.014375743
FOXF1	TWIST1	0.0143695995
COL5A1	HAND2	0.014365808
COL5A1	FOXD3	0.014357327
DACH1	ELAVL2	0.014345943
COBLL1	TWIST1	0.014344379
SLC19A2	TWIST1	0.014338681
PLXNA2	RXRG	0.014335536
LIPG	TWIST1	0.014327715
PLK2	FOXD3	0.014316074
COL5A2	RXRG	0.014315896
NAP1L3	RXRG	0.014304553
STC1	TWIST1	0.014288805
VIM	HAND2	0.014278928
LIFR	RXRG	0.014272703
ITGA6	ELAVL2	0.014266107
SRSF3	FOXD3	0.014265218
FBN1	RXRG	0.014262971
BAMBI	RXRG	0.014262039
DCLK1	FOXD3	0.0142612
PRDM1	ELAVL2	0.014252864
GNG11	FOXD3	0.014241867
FAM89A	RXRG	0.014240537
CRABP2	RXRG	0.0142371245
HLA-DQB1	RXRG	0.014234539
HLA-DRB1	RXRG	0.014233539
HNRNPAB	RXRG	0.014229806
PREPL	RXRG	0.0142205935
HAND1	FOXD3	0.0142156165
PDLIM3	FOXD3	0.014215155
RBPJ	FOXD3	0.014195855
BHLHE40	RXRG	0.014195457
HDAC9	FOXD3	0.014194058
COL4A6	FOXD3	0.0141902035
MAPK10	RXRG	0.014187234
ANKRD1	ELAVL2	0.014175943
MECOM	ELAVL2	0.014171847
PURA	RXRG	0.014117233
NUAK1	RXRG	0.01410384
MMP16	RXRG	0.014103591
EEF1A1	RXRG	0.014078709
MAFF	RXRG	0.0140767265
HDGF	RXRG	0.014073888
EPB41L3	RXRG	0.014054825
RORB	HAND2	0.014048386
ELAVL2	RXRG	0.0140470825
ARHGAP29	RXRG	0.014039871
MYOF	ELAVL2	0.014037083
PDGFRA	FOXD3	0.0140349
MYOCD	FOXD3	0.014032204
AMIGO2	RXRG	0.01402709
PRPS2	RXRG	0.014016378
ZEB2	RXRG	0.014010861
MEIS2	FOXD3	0.014005273
EOMES	TWIST1	0.014004136
KLF6	RXRG	0.013992346
TMEM47	TWIST1	0.0139824385
JUND	FOXD3	0.013965113
BCL11B	RXRG	0.013949264
HMGN2	FOXD3	0.013947145
ETV1	ELAVL2	0.013941442
ARID5B	RXRG	0.013938553
MCC	RXRG	0.013936136
MXD4	RXRG	0.013935659
ENO1	FOXD3	0.013935102
SEMA3E	RXRG	0.01393482
IRF1	RXRG	0.013924786
TCF4	FOXD3	0.013922778
LMO3	HAND2	0.013907887
POU3F1	TWIST1	0.013900401
SULF2	RXRG	0.013900343
MIF	DCLK1	0.013898007
SLC19A2	ELAVL2	0.013890502
SOX7	ELAVL2	0.0138855735
UPF1	RXRG	0.013885289
SOX7	RXRG	0.013883382
FXR1	FOXD3	0.013880919
TIMP3	HAND2	0.013877581
ERBB4	ELAVL2	0.013875921
GPC3	RXRG	0.013872452
TCF7L1	RXRG	0.013871027
FOXK1	RXRG	0.013870672
CCND1	FOXD3	0.01386146
YBX1	FOXD3	0.0138612725
FOXN3	RXRG	0.013836556
PDLIM3	HAND2	0.013818303
CTSK	RXRG	0.013816709
GRPR	ELAVL2	0.013811584
FOXJ1	FOXD3	0.013801912
TNC	HAND2	0.013793299
CDH11	RXRG	0.013787793
LHX1	ELAVL2	0.013784904
HOPX	RXRG	0.013778304
MAN1A1	TWIST1	0.013777765
THY1	HAND2	0.013774615
TIMP3	DCLK1	0.013767088
MSX1	TWIST1	0.013765013
SNAI2	FOXD3	0.013764202
HAND1	ELAVL2	0.0137624405
ALCAM	HAND2	0.0137604065
ID3	FOXD3	0.01375757
SFRP2	HAND2	0.013756466
CBX3	RXRG	0.0137330135
HTRA1	ELAVL2	0.013732505
CALB1	FOXD3	0.013720903
PAM	RXRG	0.013716143
BTG2	RXRG	0.013692946
ELK3	RXRG	0.013687445
ROR2	FOXD3	0.013685632
CPE	FOXD3	0.013676475
SHOX2	HAND2	0.013673001
IFI16	RXRG	0.013670031
STAT3	RXRG	0.013655239
HAND1	RXRG	0.013647337
AFF1	ELAVL2	0.013643944
TBX20	HAND2	0.013642236
COLEC12	FOXD3	0.013638783
BNIP3	FOXD3	0.0136348205
AMIGO2	TWIST1	0.013630669
SOX4	HAND2	0.013618355
COL5A1	TWIST1	0.013618015
LMO3	FOXD3	0.013617459
PGR	TWIST1	0.013608883
STC1	ELAVL2	0.013604958
HNRNPK	FOXD3	0.013604593
BCL11A	FOXD3	0.013589231
CTSK	FOXD3	0.013588754
FLRT3	RXRG	0.013582035
WWTR1	ELAVL2	0.013572719
CUX1	RXRG	0.013571294
NRP2	FOXD3	0.013567469
ENC1	FOXD3	0.013561267
FOXJ1	RXRG	0.013560402
SOX3	FOXD3	0.013559868
BMP4	FOXD3	0.013557115
AK4	RXRG	0.013555308
PHLDA1	TWIST1	0.01355345
POU5F1	TWIST1	0.013550496
SLC35F1	FOXD3	0.013538999
IFI16	ELAVL2	0.013538103
SSB	DCLK1	0.013536837
S1PR3	TWIST1	0.013527806
RIPPLY1	ELAVL2	0.013517133
CALB1	SIX6	0.013486582
MIF	FOXD3	0.01348421
B3GNT5	RXRG	0.013480876
DCLK1	ELAVL2	0.013476807
PDE3B	RXRG	0.01347525
SOX3	HAND2	0.013469939
ESRRG	FOXD3	0.013468588
PRDM1	TWIST1	0.013459827
COL4A1	HAND2	0.013452529
POU5F1	RXRG	0.013451387
OTX2	RXRG	0.013449543
SFRP1	DCLK1	0.013442827
PRPS2	ELAVL2	0.013439189
DUSP4	RXRG	0.0134341745
NRIP1	RXRG	0.013432579
CBX3	ELAVL2	0.013420095
NR3C1	RXRG	0.013420007
ZFHX3	ELAVL2	0.013412994
COL5A2	FOXD3	0.013406244
PRDM1	RXRG	0.013388524
POU2F2	FOXD3	0.013385684
HMGA1	RXRG	0.013370533
HOXB7	ELAVL2	0.013353721
LIFR	ELAVL2	0.0133469775
PTMA	RXRG	0.013345872
EGR1	ELAVL2	0.013343874
PSIP1	RXRG	0.013341734
SHOX2	TWIST1	0.013335105
FZD5	ELAVL2	0.0133347865
HAPLN1	RXRG	0.01332951
HOXB3	RXRG	0.013323464
NCAM1	FOXD3	0.013320788
NRP2	HAND2	0.013316266
AFF1	RXRG	0.013315628
HMGN2	RXRG	0.013311444
EOMES	FOXJ1	0.01330969
ERBB4	FOXD3	0.013298134
SMAD5	ELAVL2	0.013291165
EGR1	HAND2	0.013273758
FLRT2	HAND2	0.013265299
FEZ1	RXRG	0.013257966
DDAH1	RXRG	0.01325765
SCD5	RXRG	0.013252083
PFKFB2	ELAVL2	0.013246663
CAP2	RXRG	0.01323616
GLRX	RXRG	0.013235712
SMAD5	RXRG	0.01323557
ZEB1	RXRG	0.013232435
COL1A2	DCLK1	0.013231691
CTNNB1	RXRG	0.013229034
BAG3	ELAVL2	0.013228803
LIFR	TWIST1	0.013208596
